study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Galvan et al. 2012 Journal of Avian Biology,CAS,Acrocephalus_arundinaceus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,75,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,800677,NA,NA,NA,NA,NA,NA,NA,1,0.055055559,0.055,-0.174135562,0.278485538,0.013888889
Galvan et al. 2012 Journal of Avian Biology,CAS,Acrocephalus_melanopogon,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,20,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,383150,NA,NA,NA,NA,NA,NA,NA,1,0.237359351,0.233,-0.233607423,0.612379917,0.058823529
Galvan et al. 2012 Journal of Avian Biology,CAS,Acrocephalus_palustris,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,45,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,383147,NA,NA,NA,NA,NA,NA,NA,-1,-0.092260889,-0.092,-0.37539629,0.207127412,0.023809524
Galvan et al. 2012 Journal of Avian Biology,CAS,Acrocephalus_schoenobaenus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,65,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,1071378,NA,NA,NA,NA,NA,NA,NA,-1,-0.11652454,-0.116,-0.349996894,0.131623028,0.016129032
Galvan et al. 2012 Journal of Avian Biology,CAS,Acrocephalus_scirpaceus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,534,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,726310,NA,NA,NA,NA,NA,NA,NA,1,0.048036915,0.048,-0.037001377,0.132311793,0.001883239
van de Crommenacker 2011 Proc Roy Soc B,LMB,Acrocephalus_sechellensis,bird,endotherm,Plasmodium and Haemoproteus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,90,observational,cross-sectional,LC,yes,NA,A,residuals of body mass x tarsus length,NA,adjusted quantitative,body size,external,1010424,NA,NA,NA,NA,NA,NA,NA,1,0.081831831,0.081649658,-0.127599018,0.28393966,0.011494253
Galvan et al. 2012 Journal of Avian Biology,CAS,Aegithalos_caudatus,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,124,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,467867,NA,NA,NA,NA,NA,NA,NA,-1,-0.041022997,-0.041,-0.215756903,0.136301929,0.008264463
Ilmonen et al. 1999 Oikos,PB,Aegolius_funereus,bird,endotherm,Trypanosoma avium,protozoan,microparasite,intensity,hp randomly sampled,3,chronic,2,28,experimental,NA,LC,yes,M,NA,residual from linear regression of body mass on wing length,rapid,adjusted quantitative,body size,external,735586,NA,NA,NA,NA,NA,NA,NA,-1,-0.11350349,-0.113018565,-0.466428705,0.271506324,0.04
Ilmonen et al. 1999 Oikos,PB,Aegolius_funereus,bird,endotherm,Trypanosoma avium,protozoan,microparasite,intensity,hp randomly sampled,3,chronic,2,23,experimental,NA,LC,yes,M,NA,residual from linear regression of body mass on wing length,rapid,adjusted quantitative,body size,external,735586,NA,NA,NA,NA,NA,NA,NA,-1,-0.280009834,-0.272914182,-0.615837243,0.15694348,0.05
Gallivan et al. 1995 S. African J. Zool.,AKD,Aepyceros_melampus,mammal,endotherm,Amblyomma hebraeum,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,46,observational,cross-sectional,LC,yes,M,A,"visual assessmen - good, fair, or poor",NA,qualitative,not body size,external,768679,NA,NA,0,1,0,0,non-close,-1,-0.440295431,-0.413889294,-0.628653797,-0.140468746,0.023255814
Puttker et al. 2008 Ecological Research,CAS,Akodon_montensis,mammal,endotherm,Multiple nematode spp.,helminth,helminth,richness,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,837919,NA,NA,NA,NA,NA,NA,NA,-1,-0.155235044,-0.154,-0.477075551,0.205742088,0.034482759
Puttker et al. 2008 Ecological Research,CAS,Akodon_montensis,mammal,endotherm,Multiple nematode spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,837919,NA,NA,NA,NA,NA,NA,NA,-1,-0.160360592,-0.159,-0.481024827,0.200828365,0.034482759
Galvan et al. 2012 Journal of Avian Biology,CAS,Alauda_arvensis,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,24,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,312548,NA,NA,NA,NA,NA,NA,NA,1,0.963874235,0.746,0.49008715,0.88351658,0.047619048
Davidson et al. 2015 International Journal for Parasitology: Parasites and Wildlife,CAS,Alces_alces,mammal,endotherm,Eimeria spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,38,observational,cross-sectional,LC,no,NA,NA,residuals from a linear regression of the natural logarithm of slaughter weight on the natural logarithm of jaw bone length,NA,adjusted quantitative,body size,external,460509,1.000355864,-0.898707218,NA,NA,NA,NA,NA,-1,-0.546588593,-0.497959068,-0.705357163,-0.212028341,0.028571429
Davidson et al. 2015 International Journal for Parasitology: Parasites and Wildlife,CAS,Alces_alces,mammal,endotherm,multiple,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,40,observational,cross-sectional,LC,no,NA,NA,residuals from a linear regression of the natural logarithm of slaughter weight on the natural logarithm of jaw bone length,NA,adjusted quantitative,body size,external,460509,1.000355864,-0.898707218,NA,NA,NA,NA,NA,-1,-0.746578693,-0.633103412,-0.789006724,-0.400599311,0.027027027
Davidson et al. 2015 International Journal for Parasitology: Parasites and Wildlife,CAS,Alces_alces,mammal,endotherm,Protostrongylid,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,40,observational,cross-sectional,LC,no,NA,NA,residuals from a linear regression of the natural logarithm of slaughter weight on the natural logarithm of jaw bone length,NA,adjusted quantitative,body size,external,460509,1.000355864,-0.898707218,NA,NA,NA,NA,NA,-1,-0.335719998,-0.323651047,-0.576988252,-0.013503083,0.027027027
Gortazar et al. 2002 Annals of the new york academy of sciences,CST,Alectoris_rufa,bird,endotherm,Avipoxvirus,virus,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,106,observational,cross-sectional,LC,yes,NA,J,residual of mass~cube body length,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.284382004,-0.276955855,-0.444241614,-0.091008497,0.009708738
Calvete et al. 2003 Journal of Parasitology,DJB,Alectoris_rufa,bird,endotherm,Capillaria contorta,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,587,observational,cross-sectional,LC,no,NA,NA,mass adjusted for body size,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.098830493,-0.098509971,-0.178017328,-0.01772475,0.001712329
Millan et al. 2004 Parasitology Research,CST,Alectoris_rufa,bird,endotherm,Cuclotogaster obscurior,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,114,observational,cross-sectional,NA,no,NA,NA,body weight/cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.490430436,-0.454557998,-0.589214501,-0.295333019,0.009009009
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,Cuclotogaster obscurior,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,FD,no,NA,NA,body weight~cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.490430436,-0.454557998,-0.624095332,-0.244143508,0.015151515
Mougeut et al. 2009 J. Avian Biol,PB,Alectoris_rufa,bird,endotherm,Eimeria colchici and E. tenella,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,42,observational,cross-sectional,CZ,yes,M,NA,Index =(log transformed) body mass corrected for (log transformed) tarsus length,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.386827943,-0.368622408,-0.60479501,-0.072853225,0.025641026
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,Goniocotes obscurus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,45,observational,cross-sectional,FD,no,NA,NA,body mass,NA,raw quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.595077475,-0.533537551,-0.715081564,-0.284570635,0.023809524
Millan et al. 2004 Parasitology Research,CST,Alectoris_rufa,bird,endotherm,Goniocotes obscurus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,114,observational,cross-sectional,NA,no,NA,NA,body weight/cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.60538802,-0.540872463,-0.659212466,-0.396388155,0.009009009
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,Goniocotes obscurus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,FD,no,NA,NA,body weight~cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.60538802,-0.540872463,-0.689311576,-0.3488494,0.015151515
Millan et al. 2004 Parasitology Research,CST,Alectoris_rufa,bird,endotherm,Goniodes dispar,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,114,observational,cross-sectional,NA,no,NA,NA,body weight/cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.472990352,-0.440612295,-0.577712124,-0.2793333,0.009009009
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,Goniodes dispar,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,45,observational,cross-sectional,FD,no,NA,NA,body weight~cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.472990352,-0.440612295,-0.650069673,-0.168926423,0.023809524
Millan et al. 2004 Parasitology Research,DJB,Alectoris_rufa,bird,endotherm,louse,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,FD,no,NA,NA,body weight~cube of head and body length^3 residual,NA,adjusted quantitative,body size,external,51360,NA,NA,NA,NA,NA,NA,NA,-1,-0.629255898,-0.557539631,-0.701633556,-0.369635637,0.015151515
