"unique_extraction","paper_ID","item_number","item_question","not_applicable_met","penalise","reported_in_si","item_met"
"ft003_Michael","ft003",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft003_Michael","ft003",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft008_Julia","ft008",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft008_Julia","ft008",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft009_Rose","ft009",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft009_Rose","ft009",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft011_Julia","ft011",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft011_Julia","ft011",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft012_Michael","ft012",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft012_Michael","ft012",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft017_Rose","ft017",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft017_Rose","ft017",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft018_Rose","ft018",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft018_Rose","ft018",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft019_Rose","ft019",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft019_Rose","ft019",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft021_Shinichi","ft021",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft021_Shinichi","ft021",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft024_Julia","ft024",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft024_Julia","ft024",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft025_Dan","ft025",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft025_Dan","ft025",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft027_Rose","ft027",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft027_Rose","ft027",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft028_Tim","ft028",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft028_Tim","ft028",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft029_Losia","ft029",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft029_Losia","ft029",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft030_Dan","ft030",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft030_Dan","ft030",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft032_Shinichi","ft032",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft032_Shinichi","ft032",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft033_Shinichi","ft033",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft033_Shinichi","ft033",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft034_Rose","ft034",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft034_Rose","ft034",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft036_Losia","ft036",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft036_Losia","ft036",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft037_Julia","ft037",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft037_Julia","ft037",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft039_Shinichi","ft039",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft039_Shinichi","ft039",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft040_Dan","ft040",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","yes","yes"
"ft040_Dan","ft040",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft041_Dan","ft041",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft041_Dan","ft041",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft044_Dan","ft044",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft044_Dan","ft044",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft045_Losia","ft045",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft045_Losia","ft045",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft047_Michael","ft047",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","yes","yes"
"ft047_Michael","ft047",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"053_Julia","ft053",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"053_Julia","ft053",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft054_Michael","ft054",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft054_Michael","ft054",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft055_Tim","ft055",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft055_Tim","ft055",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft056_Losia","ft056",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft056_Losia","ft056",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft060_Rose","ft060",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft060_Rose","ft060",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft061_Rose","ft061",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft061_Rose","ft061",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft062_Dan","ft062",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft062_Dan","ft062",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft064_Michael","ft064",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft064_Michael","ft064",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft065_Tim","ft065",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft065_Tim","ft065",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft066_Julia","ft066",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft066_Julia","ft066",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft067_Rose","ft067",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
